channel,C,straight,C_minus_straight_enrichment,channel_class
21,3.440691148901851,3.239886111986479,0.200805036915372,C_channel
3,0.9784582173514085,0.7807466744220684,0.19771154292934012,C_channel
2,2.050277214812623,1.8534520056530146,0.19682520915960855,C_channel
6,2.440512870645321,2.247370472094408,0.19314239855091309,C_channel
54,2.158579680129399,1.9762113356413527,0.1823683444880464,C_channel
73,0.8330495031506288,0.654764207893916,0.17828529525671277,C_channel
120,1.7443981482796778,1.5674191613796764,0.17697898690000136,C_channel
126,0.9484521550313473,0.7889765906809261,0.1594755643504212,C_channel
35,0.672485357396152,0.5160691190749108,0.15641623832124119,C_channel
55,1.2591640824124952,1.1120047887445075,0.14715929366798775,C_channel
77,1.9108708398439391,1.7682724020737088,0.1425984377702303,C_channel
58,2.263207205815156,2.1430349881936213,0.12017221762153474,C_channel
38,0.7689723232656515,0.6626159341851233,0.10635638908052814,C_channel
46,1.421459217285155,1.323299947047515,0.09815927023763993,C_channel
104,0.7252702724122132,0.6273352277007547,0.09793504471145853,C_channel
57,2.5175044494792234,2.4254869251330584,0.09201752434616495,C_channel
13,6.440807181121163,6.355758850716763,0.0850483304044003,C_channel
113,0.3881595800712614,0.30485962032130576,0.08329995974995563,C_channel
119,1.2112525674006953,1.13157977521491,0.07967279218578538,C_channel
93,1.7618668558641524,1.6941393972893133,0.06772745857483908,C_channel
42,0.6581057187506858,0.5982735001570723,0.05983221859361354,C_channel
70,1.3798020890597695,1.3212575790724748,0.05854450998729477,C_channel
45,2.0952998278396096,2.0388969326508843,0.05640289518872521,C_channel
117,1.2904537612717761,1.2342821983803267,0.05617156289144942,C_channel
108,1.4140509620837558,1.3626737095424533,0.05137725254130254,C_channel
80,2.421865398860927,2.370598867511674,0.051266531349253075,C_channel
122,1.0446372288898174,0.9985813736418188,0.0460558552479986,C_channel
105,3.6279432031147505,3.587047243591847,0.0408959595229037,C_channel
32,0.9871716474388881,0.9854131921945309,0.0017584552443571377,C_channel
98,0.4123886665182995,0.41986052872435653,-0.007471862206057056,straight_channel
56,0.5830866200972948,0.5940452564772949,-0.010958636380000053,straight_channel
92,2.9383069240328963,2.9499318564758266,-0.01162493244293028,straight_channel
27,1.6856411731402547,1.6974222367151757,-0.011781063574920925,straight_channel
101,1.139841009665386,1.1591407744082551,-0.019299764742869208,straight_channel
107,0.450725633965573,0.47273186164920644,-0.022006227683633417,straight_channel
0,4.368084000096428,4.391648209411738,-0.023564209315309448,straight_channel
86,0.4532161449375555,0.47713893747108593,-0.023922792533530413,straight_channel
79,1.5801071057473142,1.609886847540013,-0.02977974179269882,straight_channel
124,0.3745464074611088,0.41555951626344023,-0.041013108802331444,straight_channel
96,0.5380245312181232,0.5809604579306569,-0.042935926712533656,straight_channel
8,1.3498333676335923,1.3945238473930084,-0.04469047975941609,straight_channel
103,0.5473886016778062,0.5929179394877342,-0.04552933780992796,straight_channel
44,0.6883288189275011,0.7341987544024818,-0.04586993547498075,straight_channel
49,0.5180109268953488,0.5641118827737899,-0.0461009558784411,straight_channel
30,0.7477531258047763,0.7983997555952909,-0.0506466297905146,straight_channel
59,0.45697193741573405,0.5104294299784932,-0.05345749256275911,straight_channel
15,0.9796567389620466,1.0337617027543717,-0.0541049637923251,straight_channel
116,0.868440016595054,0.930865374250118,-0.06242535765506396,straight_channel
31,0.50375548325572,0.5765534701842577,-0.07279798692853778,straight_channel
100,0.71825707078557,0.7918447113457463,-0.0735876405601763,straight_channel
114,0.9490583022601824,1.0289794663517111,-0.07992116409152872,straight_channel
88,1.25515643444274,1.3492201881181647,-0.09406375367542474,straight_channel
17,0.9709202752631703,1.0695774575402888,-0.0986571822771185,straight_channel
11,0.7796420863457612,0.8807099665359792,-0.10106788019021806,straight_channel
106,0.5519577339384307,0.6533038160652934,-0.10134608212686269,straight_channel
5,0.807653330753413,0.9178735670245514,-0.11022023627113842,straight_channel
90,2.5298676227928443,2.645539301450739,-0.11567167865789463,straight_channel
4,0.6379950016603926,0.7592837879829534,-0.1212887863225608,straight_channel
81,0.9470606660358045,1.0688222819859747,-0.12176161595017021,straight_channel
33,1.2581902463742987,1.3922166958484183,-0.13402644947411968,straight_channel
111,0.9209534885034175,1.0691380018588814,-0.1481845133554639,straight_channel
34,0.6431228486114826,0.7939177213948667,-0.1507948727833841,straight_channel
39,0.6023098514445882,0.7595893197758817,-0.15727946833129358,straight_channel
83,1.7661080242924607,1.9270583846097,-0.1609503603172393,straight_channel
24,1.5058976976842795,1.6709784422172915,-0.16508074453301202,straight_channel
