contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C,h1_exc,118,25,2.9033105,0.06288616,1.0102775,0.006369902,2.8754265,0.062361874,4.6087384,0.09540753,1.6533203125,2.7875652507396382,0.05770662339404632,0.20993882510667064,0.0020566671029543858,17
C,h1_exc,7,25,11.834246,0.109419584,4.159096,0.012196574,2.8457649,0.026612615,4.5652165,0.04077457,1.6533203125,2.7612413078705784,0.024662230674509813,0.21389424285576644,0.0020288205249373885,18
C,h1_exc,84,25,3.4825792,0.05916538,1.2389745,0.0059520174,2.8128226,0.05038226,4.513671,0.077192634,1.6533203125,2.730064380083663,0.04668946127034613,0.16578563647015354,0.002409527919688712,19
C,h1_exc,64,25,6.2010603,0.124251895,2.2165525,0.014094403,2.7985108,0.05572395,4.491396,0.08533109,1.6533203125,2.7165913708990574,0.05161195154585369,0.2249895248468742,0.003286076680425863,20
C,h1_exc,62,25,5.5664363,0.045428343,2.0781865,0.014127159,2.6805935,0.025112877,4.311692,0.03861547,1.6533203125,2.607898857805001,0.023356314946520313,0.22632364032495908,0.0026269401098094228,21
C,h1_exc,43,25,1.9356999,0.030619288,0.73586786,0.004910995,2.6332998,0.044931136,4.2380104,0.069325835,1.6533203125,2.5633328371427773,0.041931276710661027,0.20152518226749222,0.003972991171377963,22
C,h1_exc,90,25,4.2467313,0.07980603,1.626618,0.011491461,2.615731,0.055466294,4.210283,0.08576893,1.6533203125,2.546562132734837,0.05187677946289484,0.1770015922230981,0.0036956234414961286,23
C,h1_exc,57,25,3.658599,0.044599082,1.4176354,0.008720774,2.5819404,0.031419687,4.1593823,0.048545636,1.6533203125,2.5157752819630606,0.029362510110358314,0.20923427127066282,0.002514741969342966,24
C,h1_exc,6,25,5.9425836,0.10529099,2.3402555,0.012140206,2.5419314,0.049193595,4.0967045,0.07608093,1.6533203125,2.477864877908174,0.04601705584717359,0.19459859249038497,0.002863492988277997,25
C,h1_exc,80,25,9.141077,0.111595936,3.6895287,0.0072590304,2.4779577,0.031235382,3.9985518,0.04839114,1.6533203125,2.4184980922365353,0.029269065067456,0.21275319461074155,0.0035731992033318566,26
C,h1_exc,53,25,3.4308999,0.06594983,1.3860826,0.010633468,2.4774778,0.048717678,3.99697,0.07544299,1.6533203125,2.4175411994300076,0.045631202268111064,0.17366965557682587,0.002800465871404392,27
C,h1_exc,87,25,4.1333103,0.069141075,1.6738172,0.008579924,2.4683933,0.0361911,3.98353,0.056099065,1.6533203125,2.4094121617133752,0.03393115257473462,0.19030252241666779,0.0016466909853652524,28
C,h1_exc,48,25,4.210281,0.09686477,1.7699151,0.011571345,2.3790045,0.05356157,3.8438544,0.08301764,1.6533203125,2.324930213344781,0.05021267762258964,0.20600351965121427,0.005063409451822172,29
C,h1_exc,74,25,1.502759,0.013021497,0.64966506,0.005977215,2.3168962,0.026200162,3.7485328,0.04078113,1.6533203125,2.2672754980445062,0.024666198681527664,0.17257018352453482,0.0016303701225514168,30
C,h1_exc,58,25,4.9293895,0.041775744,2.130114,0.013715624,2.3151274,0.01872407,3.7459803,0.02918472,1.6533203125,2.2657317217506834,0.017652186507844263,0.226115045920339,0.0016841445287066653,31
C,h1_exc,28,25,7.0176344,0.061881866,3.0750704,0.012399441,2.282652,0.020650003,3.6953263,0.03220364,1.6533203125,2.2350939741325386,0.019478161140633873,0.18609841488151446,0.002099839586303946,32
