filename,contour_type,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,rank_contour_enrichment
C_high_BL_0_J000_000.png,C,h1_exc,18,2.2781913,1.3843533,1.645672,2.692085,1.6533203125,1.6282900482490756,56
C_high_BL_0_J000_000.png,C,h1_exc,65,3.9511695,2.421191,1.6319115,2.6701758,1.6533203125,1.6150383893843072,57
C_high_BL_0_J000_000.png,C,h1_exc,67,2.0454366,1.2552651,1.6294857,2.6663125,1.6533203125,1.612701676647407,58
C_high_BL_0_J000_000.png,C,h1_exc,12,2.0496693,1.2843889,1.5958322,2.6126842,1.6533203125,1.5802650063160582,59
C_high_BL_0_J000_000.png,C,h1_exc,14,2.2964709,1.4393891,1.5954483,2.6120725,1.6533203125,1.5798949739238781,60
C_high_BL_0_J000_000.png,C,h1_exc,79,1.9819483,1.2439933,1.5932146,2.6085105,1.6533203125,1.577740537470577,61
C_high_BL_0_J000_000.png,C,h1_exc,24,2.4028013,1.5672828,1.5331,2.5125604,1.6533203125,1.519705729973103,62
C_high_BL_0_J000_000.png,C,h1_exc,71,2.1268544,1.3888214,1.5314096,2.509859,1.6533203125,1.5180718768930561,63
C_high_BL_0_J000_000.png,C,h1_exc,110,1.3387134,0.89926577,1.4886738,2.4415288,1.6533203125,1.4767427484698195,64
C_high_BL_0_J000_000.png,C,h1_exc,19,1.9170631,1.2929225,1.4827363,2.4320278,1.6533203125,1.4709961425351445,65
C_high_BL_0_J000_000.png,C,h1_exc,47,2.6458306,1.8129383,1.4594157,2.3946922,1.6533203125,1.4484139279917994,66
C_high_BL_0_J000_000.png,C,h1_exc,109,1.6248581,1.1207458,1.4498008,2.379291,1.6533203125,1.4390986581408032,67
C_high_BL_0_J000_000.png,C,h1_exc,46,1.5697342,1.0881279,1.4426008,2.3677552,1.6533203125,1.4321212546740718,68
C_high_BL_0_J000_000.png,C,h1_exc,108,3.467875,2.416954,1.4348122,2.3552725,1.6533203125,1.4245712094967606,69
C_high_BL_0_J000_000.png,C,h1_exc,125,1.4813874,1.0502524,1.410506,2.3162975,1.6533203125,1.4009974350435832,70
C_high_BL_0_J000_000.png,C,h1_exc,115,0.777799,0.55197936,1.4091089,2.3140566,1.6533203125,1.3996420435961552,71
C_high_BL_0_J000_000.png,C,h1_exc,91,1.0047103,0.72466964,1.3864391,2.2776759,1.6533203125,1.377637373764689,72
C_high_BL_0_J000_000.png,C,h1_exc,37,3.1018825,2.2536051,1.376409,2.2615707,1.6533203125,1.3678962638302523,73
C_high_BL_0_J000_000.png,C,h1_exc,70,1.3524435,0.9837732,1.3747513,2.2589083,1.6533203125,1.3662859163152583,74
C_high_BL_0_J000_000.png,C,h1_exc,85,0.7835919,0.5772296,1.3575047,2.2312024,1.6533203125,1.3495281789036955,75
C_high_BL_0_J000_000.png,C,h1_exc,8,1.1627423,0.8841527,1.3150921,2.1630006,1.6533203125,1.3082767774716455,76
C_high_BL_0_J000_000.png,C,h1_exc,88,1.3013095,1.0200953,1.2756743,2.0995288,1.6533203125,1.2698862772977642,77
