filename,contour_type,contrast,quadrant,position,jitter,stimulus_id,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,41,2.6055076,1.2553557,2.0755134,3.3592458,1.647186279296875,2.039384251166921,0.1492156027903746,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,42,0.8662299,1.2849104,0.67415583,1.1164522,1.647186279296875,0.6777935345604561,0.0026201159401294926,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,43,1.9632448,0.7586018,2.5879781,4.15422,1.647186279296875,2.5220098851058417,0.19369207087407272,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,44,0.42019036,0.6434073,0.65307057,1.0819118,1.647186279296875,0.6568241912417202,6.550289850323732e-05,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,45,6.5981283,3.1569963,2.090002,3.3819032,1.647186279296875,2.0531394618291294,0.15314577670056884,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,46,1.5841045,1.1024851,1.436849,2.3498492,1.647186279296875,1.4265837685509408,0.10192251007103727,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,47,2.7133453,1.8727654,1.4488442,2.3690014,1.647186279296875,1.438210968572988,0.08155110863653045,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,48,4.326375,1.8629184,2.3223643,3.7438195,1.647186279296875,2.2728573565119055,0.18288409262103858,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,49,1.0588468,2.1708999,0.48774558,0.8102444,1.647186279296875,0.4918960209252527,0.004126682605703951,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,50,1.0968648,1.4598523,0.75135326,1.2427083,1.647186279296875,0.7544430969714514,0.008253365211407902,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,51,1.5539056,0.6961128,2.2322612,3.603802,1.647186279296875,2.1878533042257384,0.17744735204526987,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,52,2.2444618,3.3905804,0.6619698,1.0964929,1.647186279296875,0.6656763073297117,0.004126682605703951,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,53,3.5518773,1.4894514,2.3846881,3.840431,1.647186279296875,2.331509799416598,0.16532931582217097,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,54,2.820135,1.4597272,1.9319605,3.134185,1.647186279296875,1.9027508279575103,0.11921527527589192,90
