filename,contour_type,jitter,condition,layer,mean_activation,mean_abs_activation,std_activation,min_activation,max_activation
C_high_BL_0_J048_015.png,C,48,baseline,h1_exc,2.194916009902954,2.194916009902954,1.815258502960205,0.05250909924507141,167.036376953125
C_high_BL_0_J048_015.png,C,48,baseline,h2_exc,2.3812577724456787,2.3812577724456787,3.4213638305664062,0.0067340657114982605,107.0648422241211
C_high_BL_0_J048_015.png,C,48,baseline,h3_exc,22.530611038208008,22.530611038208008,84.50933074951172,0.003796391189098358,1778.4573974609375
C_high_BL_0_J048_015.png,C,48,baseline,h4_exc,7032.61669921875,7032.61669921875,48179.3359375,3.054050466744229e-05,1154985.625
C_high_BL_0_J048_015.png,C,48,matched_bias,h0_exc,3.7747316360473633,3.7747316360473633,4.067928791046143,0.04084799438714981,157.6612091064453
C_high_BL_0_J048_015.png,C,48,matched_bias,h1_exc,2.45976185798645,2.45976185798645,1.9824278354644775,0.04991745203733444,167.2902374267578
C_high_BL_0_J048_015.png,C,48,matched_bias,h2_exc,2.408449172973633,2.408449172973633,3.4798314571380615,0.006699544843286276,118.290283203125
C_high_BL_0_J048_015.png,C,48,matched_bias,h3_exc,22.438135147094727,22.438135147094727,83.8801498413086,0.0037096859887242317,1800.4189453125
C_high_BL_0_J048_015.png,C,48,matched_bias,h4_exc,7078.830078125,7078.830078125,48219.88671875,2.9294940759427845e-05,1183856.0
C_high_BL_0_J049_017.png,C,49,baseline,h0_exc,3.8232061862945557,3.8232061862945557,4.142974376678467,0.043002575635910034,111.5868911743164
C_high_BL_0_J049_017.png,C,49,baseline,h1_exc,2.1988401412963867,2.1988401412963867,1.760056495666504,0.049391377717256546,95.57228088378906
C_high_BL_0_J049_017.png,C,49,baseline,h2_exc,2.369903326034546,2.369903326034546,3.350468873977661,0.005923036485910416,101.61392974853516
C_high_BL_0_J049_017.png,C,49,baseline,h3_exc,21.917348861694336,21.917348861694336,82.37857055664062,0.005518409889191389,1906.2353515625
C_high_BL_0_J049_017.png,C,49,baseline,h4_exc,6828.94482421875,6828.94482421875,48786.5546875,2.8149377612862736e-05,1452219.375
C_high_BL_0_J049_017.png,C,49,matched_bias,h0_exc,3.824310541152954,3.824310541152954,4.07401704788208,0.04271477833390236,105.35881042480469
C_high_BL_0_J049_017.png,C,49,matched_bias,h1_exc,2.4652225971221924,2.4652225971221924,1.9363759756088257,0.0501367449760437,88.96485137939453
C_high_BL_0_J049_017.png,C,49,matched_bias,h2_exc,2.393367052078247,2.393367052078247,3.395615339279175,0.005744841881096363,110.05433654785156
C_high_BL_0_J049_017.png,C,49,matched_bias,h3_exc,21.782690048217773,21.782690048217773,81.7022705078125,0.005483226850628853,1966.6824951171875
C_high_BL_0_J049_017.png,C,49,matched_bias,h4_exc,6798.35986328125,6798.35986328125,48060.0625,2.828498327289708e-05,1417608.375
C_high_BL_0_J050_015.png,C,50,baseline,h0_exc,3.7649474143981934,3.7649474143981934,4.160159587860107,0.040325865149497986,170.3212890625
C_high_BL_0_J050_015.png,C,50,baseline,h1_exc,2.1937546730041504,2.1937546730041504,1.7817517518997192,0.05083482712507248,180.07095336914062
