contour_type,jitter,condition,bias_strength,layer,channel_group,n_images,mean_contour_enrichment,sem_contour_enrichment,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_dice_top_activation,sem_dice_top_activation
straight,10,straight_bias,0.25,h1_exc,all_channels,6,3.2242917869724352,0.1784656263182691,3.3095407,0.19065288,3.608731,0.19974448,0.16392786487809852,0.006734343357886694
straight,20,C_bias,0.25,h1_exc,all_channels,6,3.1053464844109993,0.14471907340797302,3.1824458,0.15388735,3.4756038,0.16197425,0.16025706999662873,0.007583202894726746
straight,20,baseline,0.0,h1_exc,all_channels,6,2.937158041526073,0.1317748683979398,3.0040677,0.13953833,3.2873619,0.14748667,0.1581300673550294,0.007938469719390457
straight,20,straight_bias,0.25,h1_exc,all_channels,6,3.0213673113940023,0.13043260059244008,3.0931609,0.13851406,3.3816116,0.14598437,0.15904396019256473,0.0073894001820816535
straight,30,C_bias,0.25,h1_exc,all_channels,6,2.7699170750584936,0.09745305684988045,2.8271198,0.102443546,3.1001804,0.109072596,0.1621210561825464,0.00529537651701048
straight,30,baseline,0.0,h1_exc,all_channels,6,2.6254454008778203,0.08783062849123519,2.6751206,0.091985255,2.938483,0.09830286,0.15950232712380316,0.00550877746789424
straight,30,straight_bias,0.25,h1_exc,all_channels,6,2.7033641970459885,0.07643540878819141,2.7568645,0.08020828,3.0256922,0.08554897,0.1606230059349684,0.0049959491093397165
straight,40,C_bias,0.25,h1_exc,all_channels,6,2.4249244628261963,0.18184914494023102,2.4666755,0.19107188,2.7140534,0.20353141,0.13793497775790894,0.014174206449120959
straight,40,baseline,0.0,h1_exc,all_channels,6,2.315343189663032,0.16281869860052509,2.3519313,0.17057124,2.5914066,0.18223193,0.13594453183213337,0.01375171339083136
straight,40,straight_bias,0.25,h1_exc,all_channels,6,2.399139911250166,0.16633682673989889,2.439416,0.17454945,2.6851947,0.18616953,0.13726028337159515,0.014140155904991005
straight,50,C_bias,0.25,h1_exc,all_channels,6,2.1676227155227465,0.18958463216529334,2.1987898,0.19641763,2.426073,0.21218923,0.12035861721953171,0.017354894813028446
straight,50,baseline,0.0,h1_exc,all_channels,6,2.0922971509833057,0.1742270819961987,2.1202886,0.180209,2.3417664,0.19500056,0.1197296648255104,0.017768556243368146
straight,50,straight_bias,0.25,h1_exc,all_channels,6,2.1435570381928897,0.17130044987268508,2.1734102,0.17747179,2.3991382,0.19172497,0.12181092547481727,0.01688004712607652
straight,60,C_bias,0.25,h1_exc,all_channels,6,1.5722872679618607,0.23172284410228558,1.585681,0.23806295,1.7597545,0.25935167,0.06467821047830312,0.02498530826348229
straight,60,baseline,0.0,h1_exc,all_channels,6,1.5429078835674606,0.21402705346139517,1.5551252,0.2196781,1.7268721,0.23954597,0.06481640307841384,0.02494659605355872
straight,60,straight_bias,0.25,h1_exc,all_channels,6,1.565493162279551,0.20903350609142995,1.5781317,0.21447194,1.7521504,0.23395702,0.06652029229130793,0.024011884602306143
