true_category,jitter,n,accuracy,mean_evidence_C,mean_evidence_straight
straight,18,1,1.0,0.9158831834793091,3.9589428901672363
straight,19,1,1.0,0.7317795157432556,3.2286221981048584
straight,20,1,1.0,0.9637784361839294,3.2740375995635986
straight,21,1,1.0,0.9575515389442444,3.268778085708618
straight,22,1,1.0,1.0722882747650146,3.869908332824707
straight,23,1,1.0,0.899490237236023,3.9272611141204834
straight,24,1,1.0,0.8454877138137817,3.2293426990509033
straight,25,1,1.0,0.8164975643157959,3.07912278175354
straight,26,1,1.0,1.0280078649520874,3.4388797283172607
straight,27,1,1.0,0.7317074537277222,3.324735164642334
straight,28,1,1.0,1.0581971406936646,3.415785074234009
straight,29,1,1.0,1.0585442781448364,3.871321201324463
straight,30,1,1.0,0.8182490468025208,3.423884391784668
straight,31,1,1.0,0.9214103817939758,3.660592555999756
straight,32,1,1.0,0.6500069499015808,3.1704390048980713
straight,33,1,1.0,0.4605831503868103,3.5561347007751465
straight,34,1,1.0,1.0925437211990356,3.3821792602539062
straight,35,1,1.0,0.8096336126327515,3.629347085952759
straight,36,1,1.0,0.8497205376625061,3.9308629035949707
straight,37,1,1.0,0.849723219871521,3.5959408283233643
straight,38,1,1.0,0.9513548612594604,3.029269218444824
straight,39,1,1.0,0.7922430038452148,3.602681875228882
straight,40,1,1.0,1.0922925472259521,3.433094024658203
straight,41,1,1.0,0.9628390073776245,3.1918179988861084
straight,42,1,1.0,0.6754531264305115,3.2787437438964844
straight,43,1,1.0,0.7181356549263,3.2752223014831543
straight,44,1,1.0,0.9389500021934509,3.6050479412078857
straight,45,1,1.0,0.8193737268447876,3.5335402488708496
straight,46,1,1.0,0.806607186794281,3.0504984855651855
straight,47,1,1.0,1.3820241689682007,3.3772528171539307
straight,48,1,1.0,0.6256511211395264,3.1903703212738037
straight,49,1,1.0,1.05619478225708,3.243198871612549
straight,50,1,1.0,0.8146836161613464,3.0136959552764893
straight,51,1,1.0,0.8376054763793945,3.3187003135681152
straight,52,1,1.0,0.7596087455749512,3.334104061126709
straight,53,1,1.0,0.4923883378505707,3.161201238632202
straight,54,1,1.0,0.93691486120224,3.2437899112701416
straight,55,1,1.0,0.4416750967502594,3.510164976119995
straight,56,1,1.0,0.7512615323066711,3.806863307952881
straight,57,1,1.0,1.3953359127044678,3.380493640899658
straight,58,1,1.0,0.4568161368370056,3.5398197174072266
straight,59,1,1.0,0.9244519472122192,3.2330405712127686
straight,60,1,1.0,0.9247843027114868,3.1580944061279297
