condition,contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
full_td,C,h1_exc,42,25,0.7298523,0.014299579,1.1379733,0.013324008,0.6402334,0.0065136054,1.0648167,0.010720298,1.6533203125,0.6440474756157435,0.006484102174928808,0.00419005218665719,0.0005530890965475747,113
full_td,C,h1_exc,43,25,1.9356999,0.030619288,0.73586786,0.004910995,2.6332998,0.044931136,4.2380104,0.069325835,1.6533203125,2.5633328371427773,0.041931276710661096,0.20152518226749222,0.003972991171377963,22
full_td,C,h1_exc,44,25,0.4052732,0.005499973,0.6021024,0.003941058,0.6727771,0.0067968485,1.1183362,0.011165956,1.6533203125,0.6764183534378919,0.0067536558089345295,0.0004893991452271101,0.00015236159460124343,110
full_td,C,h1_exc,45,25,6.6446333,0.10137331,3.1104214,0.02302145,2.1363451,0.02920282,3.4664075,0.04576495,1.6533203125,2.09663385194505,0.02768063017959893,0.15912125028659477,0.003296358347635964,36
full_td,C,h1_exc,46,25,1.5820276,0.021624403,1.104233,0.010397128,1.4343411,0.02040288,2.354255,0.032656424,1.6533203125,1.4239557905419036,0.01975202465899773,0.09903293388075167,0.0023652603003473135,69
full_td,C,h1_exc,47,25,2.605908,0.02298606,1.8051981,0.007778657,1.443525,0.010935691,2.3691604,0.017515307,1.6533203125,1.4329711005416426,0.010594018693666548,0.07954412134410496,0.0018283524506225626,68
full_td,C,h1_exc,48,25,4.210281,0.09686477,1.7699151,0.011571345,2.3790045,0.05356157,3.8438544,0.08301764,1.6533203125,2.324930213344781,0.05021267762258969,0.20600351965121427,0.00506340945182217,29
full_td,C,h1_exc,49,25,1.1057667,0.015078681,2.1705306,0.008849719,0.50941515,0.0064852955,0.8490857,0.010719021,1.6533203125,0.5135639265512473,0.006483329636345508,0.00599342698986781,0.0005421675815866877,121
full_td,C,h1_exc,50,25,0.97585845,0.018834673,1.365159,0.0075470223,0.7151242,0.013857948,1.1877987,0.022746699,1.6533203125,0.7184323157779109,0.013758192087207976,0.010022578580351126,0.0014606698464617312,107
full_td,C,h1_exc,51,25,1.4071234,0.033819623,0.7075658,0.0040008365,1.9916961,0.05172961,3.2381475,0.08144742,1.6533203125,1.9585724591279345,0.049262943298361325,0.15514623313487375,0.005189533290631585,43
full_td,C,h1_exc,52,25,2.1427517,0.027603472,3.2606986,0.018212486,0.65681463,0.0063265297,1.0920954,0.010405523,1.6533203125,0.6605467830391138,0.006293712366612962,0.003318512159341278,0.00030338523164984675,112
full_td,C,h1_exc,53,25,3.4308999,0.06594983,1.3860826,0.010633468,2.4774778,0.048717678,3.99697,0.07544299,1.6533203125,2.4175411994300076,0.045631202268111064,0.17366965557682587,0.0028004658714043907,27
full_td,C,h1_exc,54,25,3.2409492,0.09505555,1.44085,0.005477242,2.2512217,0.06812243,3.6437452,0.10612816,1.6533203125,2.203895426994011,0.06419092539514991,0.14649794686990153,0.004367021262131459,35
full_td,C,h1_exc,55,25,2.6584148,0.021861957,2.0884135,0.007700359,1.2730097,0.009778568,2.0951746,0.015766287,1.6533203125,1.2672526416862937,0.009536136014967302,0.03333277465848208,0.0014892217004688667,77
full_td,C,h1_exc,56,25,0.37792575,0.008866643,0.6552504,0.0013345921,0.5768429,0.013579102,0.96030396,0.022374758,1.6533203125,0.5808335687213426,0.013533226398345427,0.013354522529562233,0.0014111079760971855,117
full_td,C,h1_exc,57,25,3.658599,0.044599082,1.4176354,0.008720774,2.5819404,0.031419687,4.1593823,0.048545636,1.6533203125,2.5157752819630606,0.029362510110358335,0.20923427127066282,0.0025147419693429623,24
full_td,C,h1_exc,58,25,4.9293895,0.041775744,2.130114,0.013715624,2.3151274,0.01872407,3.7459803,0.02918472,1.6533203125,2.2657317217506834,0.017652186507844284,0.226115045920339,0.0016841445287066642,31
full_td,C,h1_exc,59,25,0.41478541,0.007094538,0.91678375,0.0040869606,0.45218033,0.0068227006,0.7544011,0.011294743,1.6533203125,0.45629459292133767,0.0068315513870884255,0.00240677113885661,0.00048400847405845906,123
full_td,C,h1_exc,60,25,2.6977477,0.030170977,1.7215556,0.012504395,1.5681939,0.017907102,2.5683963,0.02856856,1.6533203125,1.5534777586653945,0.017279507250166266,0.0885468108058204,0.002161102277823648,62
full_td,C,h1_exc,61,25,12.79401,0.24710444,2.6655135,0.0072027757,4.802799,0.09796825,7.465696,0.14104831,1.6533203125,4.515577327051381,0.08531215280538465,0.25102153691422857,0.0025878078336745384,3
full_td,C,h1_exc,62,25,5.5664363,0.045428343,2.0781865,0.014127159,2.6805935,0.025112877,4.311692,0.03861547,1.6533203125,2.607898857805001,0.023356314946520306,0.22632364032495908,0.0026269401098094215,21
full_td,C,h1_exc,63,25,1.933136,0.017573677,1.9757353,0.010069837,0.9785653,0.008017207,1.6184138,0.013037016,1.6533203125,0.9788870791123059,0.007885353667421418,0.018577055224990716,0.0015224687460705546,93
