contour_type,layer,channel,mean_activation_on_contour_pct_full_td,mean_activation_on_contour_pct_no_td,mean_contour_enrichment_full_td,mean_contour_enrichment_no_td,mean_contour_preference_ratio_full_td,mean_contour_preference_ratio_no_td,mean_dice_top_activation_full_td,mean_dice_top_activation_no_td,td_effect_contour_preference_ratio,td_effect_activation_on_contour_pct,td_effect_contour_enrichment,td_effect_dice_top_activation
C,h1_exc,54,3.6437452,2.1072028,2.203895426994011,1.2745277871172243,2.2512217,1.2804422,0.14649794686990153,0.05367300762586636,0.9707794,1.5365424,0.9293676398767867,0.09282493924403518
C,h1_exc,55,2.0951746,1.8957028,1.2672526416862937,1.146603473503599,1.2730097,1.149439,0.03333277465848208,0.0354980898531111,0.12357068,0.19947171,0.12064916818269467,-0.0021653151946290222
C,h1_exc,56,0.96030396,1.4003587,0.5808335687213426,0.8469978583220567,0.5768429,0.8448282,0.013354522529562233,0.02267988785099587,-0.26798528,-0.4400547,-0.26616428960071403,-0.009325365321433637
C,h1_exc,57,4.1593823,1.4931902,2.5157752819630606,0.9031463543184621,2.5819404,0.9016813,0.20923427127066282,0.021982736947941017,1.6802591,2.666192,1.6126289276445984,0.18725153432272182
C,h1_exc,58,3.7459803,1.8180841,2.2657317217506834,1.099656310260348,2.3151274,1.1015054,0.226115045920339,0.03139529037121311,1.213622,1.9278961,1.1660754114903353,0.19471975554912588
C,h1_exc,59,0.7544011,1.8738676,0.45629459292133767,1.1333966511436537,0.45218033,1.1359472,0.00240677113885661,0.05729992457885083,-0.6837669,-1.1194665,-0.6771020582223161,-0.05489315343999422
C,h1_exc,60,2.5683963,1.6536417,1.5534777586653945,1.0001943864166107,1.5681939,1.0002023,0.0885468108058204,0.03386910248886795,0.5679916,0.9147546,0.5532833722487838,0.05467770831695245
C,h1_exc,61,7.465696,1.8801869,4.515577327051381,1.137218805995388,4.802799,1.139852,0.25102153691422857,0.036805497360230616,3.6629472,5.585509,3.378358521055993,0.21421603955399796
C,h1_exc,62,4.311692,1.3984507,2.607898857805001,0.8458438129491639,2.6805935,0.8436585,0.22632364032495908,0.03150894488526977,1.836935,2.9132414,1.762055044855837,0.19481469543968932
C,h1_exc,63,1.6184138,1.8458728,0.9788870791123059,1.1164640640534012,0.9785653,1.1186547,0.018577055224990716,0.040371947664690655,-0.14008945,-0.22745895,-0.13757698494109527,-0.02179489243969994
C,h1_exc,64,4.491396,1.417292,2.7165913708990574,0.8572398531009976,2.7985108,0.85518783,0.2249895248468742,0.015754630017585054,1.9433229,3.0741038,1.8593515177980597,0.20923489482928914
C,h1_exc,65,2.7731423,1.8580937,1.6773171021370485,1.1238558230440587,1.6967894,1.1262015,0.1271560627220827,0.03042319617863871,0.5705879,0.9150486,0.5534612790929898,0.096732866543444
C,h1_exc,66,1.8113396,2.0800714,1.0955769035827925,1.2581176840342587,1.0973592,1.2636026,0.06856951311483402,0.05765524176648147,-0.16624343,-0.26873183,-0.16254078045146625,0.010914271348352544
C,h1_exc,67,2.6672163,1.8045866,1.613248240159311,1.0914924814233193,1.6301991,1.0931756,0.12711597913770034,0.029551663454261665,0.5370234,0.86262965,0.5217557587359916,0.09756431568343868
C,h1_exc,68,2.1078866,1.6926029,1.2749414619892052,1.023759759432856,1.2810711,1.0241696,0.06892483030246466,0.03529707533727034,0.2569015,0.41528368,0.2511817025563492,0.033627754965194316
C,h1_exc,69,3.3705451,1.5836095,2.0386521410675296,0.957835849797629,2.0752425,0.9571583,0.17798039051355233,0.024148160563123983,1.1180842,1.7869357,1.0808162912699006,0.15383222995042833
C,h1_exc,70,2.283776,2.058648,1.3813269629977625,1.2451599052991362,1.3902807,1.2503139,0.12125701835236632,0.045373334450644946,0.13996685,0.22512794,0.13616705769862625,0.07588368390172137
C,h1_exc,71,2.5765536,1.9588394,1.558411637336453,1.1847912489943446,1.5732085,1.1884849,0.13402162071555013,0.03629587300669386,0.38472354,0.61771417,0.3736203883421083,0.09772574770885627
C,h1_exc,72,6.361666,1.4391456,3.8478123152161263,0.8704577475915241,4.0426064,0.8685668,0.2353473560712014,0.012234978630677754,3.1740396,4.9225206,2.9773545676246025,0.22311237744052365
C,h1_exc,73,1.3701046,1.3123965,0.8286987557396632,0.7937945202190899,0.826328,0.79105294,0.02090329685696191,0.015111036621122004,0.035275042,0.057708025,0.03490423552057331,0.005792260235839905
