condition,filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,87,4.1626835,1.6920015,2.4602127,3.971636,1.6533203125,2.402218132112765,0.18285426967218396,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,88,1.3013095,1.0200953,1.2756743,2.0995288,1.6533203125,1.2698862772977642,0.1250314254587069,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,89,2.5442505,1.3062514,1.9477495,3.1705728,1.6533203125,1.917700226975192,0.10290790245528961,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,90,4.7569976,1.7232546,2.760473,4.4348636,1.6533203125,2.6823982666869415,0.2012905388416984,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,91,1.0047103,0.72466964,1.3864391,2.2776759,1.6533203125,1.377637373764689,0.09553339478748384,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,92,9.036217,3.0495696,2.963112,4.7449684,1.6533203125,2.869963158217116,0.22291125450412894,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,93,2.4762547,1.4183316,1.7458926,2.8513567,1.6533203125,1.7246245061904726,0.1471549484621242,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,94,4.746135,2.6437101,1.7952555,2.9296136,1.6533203125,1.7719576481166,0.1484957680380889,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,95,0.9756213,0.8990583,1.0851591,1.7915932,1.6533203125,1.0836334433358867,0.0479342998407375,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,96,1.0643374,1.9844208,0.5363466,0.8936029,1.6533203125,0.5404898829927879,0.004525266068880813,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,97,2.2559488,1.1024568,2.0462923,3.3256478,1.6533203125,2.0114963723027333,0.11145562725206447,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,98,1.4932598,3.5496776,0.42067477,0.70223624,1.6533203125,0.4247430008480732,0.0,90
