filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,rank,mean_activation,mean_abs_activation,max_activation
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,127,0.24782018,0.25866717,0.95806587,1.5850885,1.6533203125,0.9587304225735237,0.04374423866584786,90,113,0.39284396171569824,0.39284396171569824,2.942340135574341
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,29,20.806938,4.5331655,4.589936,3.6870735,0.8271484375000001,4.457571649086589,0.1338504554882891,90,1,5.748300552368164,5.748300552368164,43.43383026123047
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,25,17.599026,4.207065,4.1832075,3.3713665,0.8271484375000001,4.075890501933744,0.14413276810666173,90,2,5.101926803588867,5.101926803588867,35.2630615234375
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,7,12.012602,4.1916924,2.8658118,2.3344247,0.8271484375000001,2.8222560789072872,0.11815639938656249,90,4,4.5831828117370605,4.5831828117370605,26.87164878845215
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,72,20.409088,3.8013115,5.36896,4.2860384,0.8271484375000001,5.181703975503956,0.14160728781442986,90,6,4.531583786010742,4.531583786010742,41.25046157836914
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,80,11.731758,3.680418,3.1876156,2.5897694,0.8271484375000001,3.1309607981864946,0.1379994588255272,90,9,4.377313137054443,4.377313137054443,19.869768142700195
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,92,12.180464,3.0705626,3.9668508,3.2025824,0.8271484375000001,3.8718350605547913,0.13980337331997852,90,14,3.7778854370117188,3.7778854370117188,28.06157875061035
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,28,8.903691,3.0761912,2.8943882,2.3571537,0.8271484375000001,2.849734725638242,0.1278975376565997,90,16,3.4965715408325195,3.4965715408325195,18.089885711669922
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,61,18.04481,2.6891692,6.7101803,5.299988,0.8271484375000001,6.407541244848614,0.1515288175339122,90,24,3.0086264610290527,3.0086264610290527,36.99102783203125
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,105,8.137721,1.9610499,4.149676,3.3452451,0.8271484375000001,4.044310465697326,0.13836024172441747,90,30,2.8160834312438965,2.8160834312438965,21.683815002441406
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,13,19.085087,1.7737341,10.759835,8.23517,0.8271484375000001,9.956097226888504,0.13348967258939884,90,35,2.529369831085205,2.529369831085205,67.59261322021484
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,62,6.4667,2.0690148,3.1254973,2.540584,0.8271484375000001,3.0714971357929386,0.14359159375832634,90,39,2.4994728565216064,2.4994728565216064,12.133041381835938
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,16,3.7869134,1.4477075,2.6158,2.135119,0.8271484375000001,2.5813008146088894,0.11003878416153148,90,43,2.386193037033081,2.386193037033081,12.706192970275879
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,0,10.571937,1.7481592,6.047468,4.801683,0.8271484375000001,5.805104227154052,0.13962298187053337,90,45,2.3758010864257812,2.3758010864257812,25.423660278320312
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,20,7.376681,1.7991928,4.0999947,3.30652,0.8271484375000001,3.997492826339342,0.1315053666455024,90,53,2.211973190307617,2.211973190307617,20.255916595458984
