filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,mask_dilation_pixels,rank,mean_activation,mean_abs_activation,max_activation
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,120,0.6884563,0.5577949,1.2342463,53.807434,48.5537109375,1.1082043582664975,0.23742890975495967,90,3,113,1.1382129192352295,1.1382129192352295,5.169285297393799
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,105,1.9779321,1.915076,1.0328217,49.360706,48.5537109375,1.0166206736024417,0.21221167797991758,90,3,30,2.8533129692077637,2.8533129692077637,28.38812828063965
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,87,2.015986,1.4230044,1.416711,57.211124,48.5537109375,1.1783059070814808,0.2581764205540022,90,3,53,2.229494094848633,2.229494094848633,14.851741790771484
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,67,1.387155,1.1511297,1.205038,53.211662,48.5537109375,1.095933992563761,0.28479460964987996,90,3,57,2.1475844383239746,2.1475844383239746,10.40425968170166
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,29,2.935208,3.0468917,0.96334505,47.62151,48.5537109375,0.9808006148797562,0.16577994963222106,90,3,1,3.562081813812256,3.562081813812256,22.925941467285156
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,23,2.5293841,2.8358417,0.8919342,45.70485,48.5537109375,0.9413255619654624,0.1470671625610589,90,3,2,2.9497313499450684,2.9497313499450684,26.288991928100586
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,7,2.4763904,2.7196443,0.91055673,46.218067,48.5537109375,0.9518956690903395,0.15197051318398375,90,3,4,2.669651985168457,2.669651985168457,21.891035079956055
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,78,1.9560529,2.0608847,0.9491326,47.25091,48.5537109375,0.973167875133948,0.16284461048380347,90,3,5,2.39316463470459,2.39316463470459,20.803455352783203
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,92,1.9458973,2.4172108,0.80501765,43.173923,48.5537109375,0.8891992527433094,0.12141630113909148,90,3,6,2.2806060314178467,2.2806060314178467,13.916828155517578
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,25,1.8813928,1.7879939,1.0522367,49.826263,48.5537109375,1.0262091703270704,0.17358528327687694,90,3,8,2.131653070449829,2.131653070449829,19.075847625732422
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,105,1.4575249,1.6304796,0.89392406,45.760147,48.5537109375,0.9424644625867207,0.14463216531293974,90,3,11,2.032456398010254,2.032456398010254,9.441346168518066
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,61,1.8884054,2.0000415,0.9441831,47.120617,48.5537109375,0.9704843562584171,0.16037625710899775,90,3,12,2.0017471313476562,2.0017471313476562,22.691272735595703
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,80,1.9109733,1.8585095,1.028229,49.24931,48.5537109375,1.0143263733856935,0.1662135792791464,90,3,13,1.9337495565414429,1.9337495565414429,9.616158485412598
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,72,1.5662495,1.5314368,1.022732,49.11534,48.5537109375,1.0115671949283283,0.16741439983986267,90,3,16,1.6746333837509155,1.6746333837509155,21.99262237548828
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,1,1.2197484,1.3143917,0.92799455,46.689922,48.5537109375,0.9616138791790477,0.14326456411879063,90,3,32,1.299087405204773,1.299087405204773,5.196395397186279
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,58,0.9454732,1.0411129,0.908137,46.151936,48.5537109375,0.9505336394842321,0.11157624376655523,90,3,41,1.1974271535873413,1.1974271535873413,4.286971569061279
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,48,0.93266517,0.9457385,0.9861766,48.20608,48.5537109375,0.9928403092094232,0.16881535716069834,90,3,44,1.0356993675231934,1.0356993675231934,15.57629680633545
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,17,0.49504378,0.6989692,0.7082484,40.06331,48.5537109375,0.8251338143677593,0.0775196384195738,90,3,57,0.9031758308410645,0.9031758308410645,6.837369918823242
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,53,0.62639076,0.68760276,0.91097766,46.22956,48.5537109375,0.9521323900872939,0.14363148151234284,90,3,64,0.7915949821472168,0.7915949821472168,8.125388145446777
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,31,0.43519136,0.47634253,0.91361016,46.301292,48.5537109375,0.953609755379936,0.10193632315413835,90,3,93,0.565671980381012,0.565671980381012,2.812095880508423
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,118,0.4280084,0.4557018,0.93922913,46.98956,48.5537109375,0.967785124074094,0.14169682616452214,90,3,96,0.5535036325454712,0.5535036325454712,2.444171905517578
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,46,0.41816124,0.41064695,1.0182986,49.006775,48.5537109375,1.009331191087199,0.1387948431427911,90,3,104,0.5029887557029724,0.5029887557029724,2.9926559925079346
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,106,0.39114186,0.4785404,0.81736434,43.54773,48.5537109375,0.8968980669525888,0.10473823779580968,90,3,105,0.4950638711452484,0.4950638711452484,3.69461989402771
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,127,0.26393437,0.25334755,1.0417877,49.57677,48.5537109375,1.0210706826523912,0.15350489501156567,90,3,113,0.39284396171569824,0.39284396171569824,2.942340135574341
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,29,5.0001864,4.367138,1.1449573,50.87222,47.490234375,1.0712143189961087,0.1851877017156132,90,3,1,5.748300552368164,5.748300552368164,43.43383026123047
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,25,4.5218687,4.1333084,1.0940071,49.734314,47.490234375,1.0472534955639754,0.1790385595379346,90,3,2,5.101926803588867,5.101926803588867,35.2630615234375
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,7,4.068094,4.426673,0.9189958,45.389416,47.490234375,0.9557631443340117,0.15219976218784573,90,3,4,4.5831828117370605,4.5831828117370605,26.87164878845215
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,72,3.7670085,4.0939455,0.92014134,45.420288,47.490234375,0.9564132220893754,0.1604212671988856,90,3,6,4.531583786010742,4.531583786010742,41.25046157836914
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,80,3.9281034,3.5832365,1.0962446,49.785378,47.490234375,1.0483287384693627,0.1772040088329918,90,3,9,4.377313137054443,4.377313137054443,19.869768142700195
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,92,2.8867989,3.3802612,0.8540165,43.57866,47.490234375,0.9176341119803295,0.13144216069303016,90,3,14,3.7778854370117188,3.7778854370117188,28.06157875061035
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,28,2.91019,3.3181198,0.87706,44.23439,47.490234375,0.9314418181258901,0.11873619840324126,90,3,16,3.4965715408325195,3.4965715408325195,18.089885711669922
straight_high_BL_0_J000_003.png,straight,high,0,BL,0,h1_exc,61,2.8702254,2.767307,1.0371908,48.401566,47.490234375,1.0191898645807833,0.17329709529468773,90,3,24,3.0086264610290527,3.0086264610290527,36.99102783203125
